key	freq	prob	cfreq	cprob	count	cfrac
3945	1926	0.002186	362756	0.4118	107	0.004872
8739	1922	0.002182	364678	0.414	108	0.004918
27032	1896	0.002152	366574	0.4161	109	0.004963
5849	1879	0.002133	368453	0.4183	110	0.005009
2565	1867	0.002119	370320	0.4204	111	0.005054
4292	1858	0.002109	372178	0.4225	112	0.0051
19126	1835	0.002083	374013	0.4246	113	0.005145
6193	1834	0.002082	375847	0.4267	114	0.005191
16276	1831	0.002079	377678	0.4287	115	0.005237
853	1830	0.002077	379508	0.4308	116	0.005282
21332	1829	0.002076	381337	0.4329	117	0.005328
2637	1822	0.002068	383159	0.435	118	0.005373
24151	1807	0.002051	384966	0.437	119	0.005419
22117	1801	0.002044	386767	0.439	120	0.005464
24415	1781	0.002022	388548	0.4411	121	0.00551
22036	1774	0.002014	390322	0.4431	122	0.005555
22750	1772	0.002012	392094	0.4451	123	0.005601
17333	1771	0.00201	393865	0.4471	124	0.005646
3075	1761	0.001999	395626	0.4491	125	0.005692
8269	1760	0.001998	397386	0.4511	126	0.005737
3865	1752	0.001989	399138	0.4531	127	0.005783
24237	1751	0.001988	400889	0.4551	128	0.005829
25088	1737	0.001972	402626	0.4571	129	0.005874
15562	1702	0.001932	404328	0.459	130	0.00592
11703	1700	0.00193	406028	0.4609	131	0.005965
7943	1657	0.001881	407685	0.4628	132	0.006011
7623	1652	0.001875	409337	0.4647	133	0.006056
11561	1624	0.001844	410961	0.4665	134	0.006102
18835	1584	0.001798	412545	0.4683	135	0.006147
23221	1557	0.001767	414102	0.4701	136	0.006193
9616	1556	0.001766	415658	0.4718	137	0.006238
9841	1549	0.001758	417207	0.4736	138	0.006284
1853	1540	0.001748	418747	0.4754	139	0.006329
17255	1522	0.001728	420269	0.4771	140	0.006375
14776	1519	0.001724	421788	0.4788	141	0.00642
10852	1512	0.001716	423300	0.4805	142	0.006466
5419	1484	0.001685	424784	0.4822	143	0.006512
12725	1482	0.001682	426266	0.4839	144	0.006557
21613	1474	0.001673	427740	0.4856	145	0.006603
5156	1470	0.001669	429210	0.4872	146	0.006648
23603	1468	0.001666	430678	0.4889	147	0.006694
23715	1459	0.001656	432137	0.4906	148	0.006739
5269	1453	0.001649	433590	0.4922	149	0.006785
12106	1450	0.001646	435040	0.4938	150	0.00683
2573	1437	0.001631	436477	0.4955	151	0.006876
21348	1431	0.001624	437908	0.4971	152	0.006921
27425	1427	0.00162	439335	0.4987	153	0.006967
26444	1422	0.001614	440757	0.5003	154	0.007012
24577	1421	0.001613	442178	0.5019	155	0.007058
3994	1409	0.001599	443587	0.5035	156	0.007104
13597	1393	0.001581	444980	0.5051	157	0.007149
4495	1389	0.001577	446369	0.5067	158	0.007195
4238	1388	0.001576	447757	0.5083	159	0.00724
6250	1375	0.001561	449132	0.5098	160	0.007286
29576	1357	0.00154	450489	0.5114	161	0.007331
3765	1355	0.001538	451844	0.5129	162	0.007377
18437	1350	0.001532	453194	0.5145	163	0.007422
11933	1346	0.001528	454540	0.516	164	0.007468
20211	1346	0.001528	455886	0.5175	165	0.007513
1395	1340	0.001521	457226	0.519	166	0.007559
27253	1339	0.00152	458565	0.5206	167	0.007604
2091	1338	0.001519	459903	0.5221	168	0.00765
4725	1338	0.001519	461241	0.5236	169	0.007695
2807	1336	0.001517	462577	0.5251	170	0.007741
20914	1321	0.0015	463898	0.5266	171	0.007787
16706	1320	0.001498	465218	0.5281	172	0.007832
11984	1315	0.001493	466533	0.5296	173	0.007878
25654	1313	0.00149	467846	0.5311	174	0.007923
24111	1307	0.001484	469153	0.5326	175	0.007969
21060	1301	0.001477	470454	0.534	176	0.008014
3687	1300	0.001476	471754	0.5355	177	0.00806
2973	1295	0.00147	473049	0.537	178	0.008105
21578	1277	0.00145	474326	0.5384	179	0.008151
14534	1275	0.001447	475601	0.5399	180	0.008196
8894	1269	0.001441	476870	0.5413	181	0.008242
29155	1267	0.001438	478137	0.5428	182	0.008287
9938	1258	0.001428	479395	0.5442	183	0.008333
5748	1257	0.001427	480652	0.5456	184	0.008378
10828	1257	0.001427	481909	0.5471	185	0.008424
12211	1246	0.001414	483155	0.5485	186	0.00847
12269	1245	0.001413	484400	0.5499	187	0.008515
23241	1243	0.001411	485643	0.5513	188	0.008561
13821	1240	0.001408	486883	0.5527	189	0.008606
10527	1230	0.001396	488113	0.5541	190	0.008652
2246	1218	0.001383	489331	0.5555	191	0.008697
809	1214	0.001378	490545	0.5569	192	0.008743
25276	1212	0.001376	491757	0.5582	193	0.008788
19119	1204	0.001367	492961	0.5596	194	0.008834
12123	1202	0.001364	494163	0.561	195	0.008879
24481	1192	0.001353	495355	0.5623	196	0.008925
17235	1176	0.001335	496531	0.5636	197	0.00897
17830	1172	0.00133	497703	0.565	198	0.009016
14857	1169	0.001327	498872	0.5663	199	0.009062
5994	1166	0.001324	500038	0.5676	200	0.009107
9600	1161	0.001318	501199	0.5689	201	0.009153
21684	1159	0.001316	502358	0.5703	202	0.009198
3343	1151	0.001307	503509	0.5716	203	0.009244
14009	1150	0.001305	504659	0.5729	204	0.009289
21337	1143	0.001298	505802	0.5742	205	0.009335
7625	1134	0.001287	506936	0.5755	206	0.00938
23901	1121	0.001273	508057	0.5767	207	0.009426
17783	1121	0.001273	509178	0.578	208	0.009471
19158	1120	0.001271	510298	0.5793	209	0.009517
22463	1110	0.00126	511408	0.5805	210	0.009562
15893	1100	0.001249	512508	0.5818	211	0.009608
25434	1093	0.001241	513601	0.583	212	0.009653
22753	1080	0.001226	514681	0.5843	213	0.009699
26119	1079	0.001225	515760	0.5855	214	0.009745
12271	1070	0.001215	516830	0.5867	215	0.00979
2497	1069	0.001213	517899	0.5879	216	0.009836
28271	1054	0.001196	518953	0.5891	217	0.009881
14548	1052	0.001194	520005	0.5903	218	0.009927
12393	1048	0.00119	521053	0.5915	219	0.009972
28216	1040	0.001181	522093	0.5927	220	0.01002
5618	1040	0.001181	523133	0.5938	221	0.01006
13067	1037	0.001177	524170	0.595	222	0.01011
26289	1035	0.001175	525205	0.5962	223	0.01015
12546	1032	0.001171	526237	0.5974	224	0.0102
10670	1026	0.001165	527263	0.5985	225	0.01025
27069	1022	0.00116	528285	0.5997	226	0.01029
5308	1022	0.00116	529307	0.6009	227	0.01034
28356	1015	0.001152	530322	0.602	228	0.01038
15580	1011	0.001148	531333	0.6032	229	0.01043
2657	1002	0.001137	532335	0.6043	230	0.01047
1485	996	0.001131	533331	0.6054	231	0.01052
2894	995	0.001129	534326	0.6066	232	0.01056
16366	993	0.001127	535319	0.6077	233	0.01061
12398	992	0.001126	536311	0.6088	234	0.01066
9388	987	0.00112	537298	0.6099	235	0.0107
19423	983	0.001116	538281	0.611	236	0.01075
6232	981	0.001114	539262	0.6122	237	0.01079
9815	980	0.001112	540242	0.6133	238	0.01084
298	979	0.001111	541221	0.6144	239	0.01088
17478	978	0.00111	542199	0.6155	240	0.01093
14311	969	0.0011	543168	0.6166	241	0.01097
28434	965	0.001095	544133	0.6177	242	0.01102
25887	962	0.001092	545095	0.6188	243	0.01107
8932	956	0.001085	546051	0.6199	244	0.01111
8078	953	0.001082	547004	0.6209	245	0.01116
26129	952	0.001081	547956	0.622	246	0.0112
12949	941	0.001068	548897	0.6231	247	0.01125
7	940	0.001067	549837	0.6242	248	0.01129
17128	940	0.001067	550777	0.6252	249	0.01134
29860	928	0.001053	551705	0.6263	250	0.01138
14602	928	0.001053	552633	0.6273	251	0.01143
25658	926	0.001051	553559	0.6284	252	0.01147
25430	924	0.001049	554483	0.6294	253	0.01152
25680	921	0.001045	555404	0.6305	254	0.01157
22300	917	0.001041	556321	0.6315	255	0.01161
18743	914	0.001038	557235	0.6326	256	0.01166
6902	913	0.001036	558148	0.6336	257	0.0117
