key	freq	prob	cfreq	cprob	count	cfrac
5901	321	0.0003644	44594	0.05062	107	0.003772
25213	320	0.0003633	44914	0.05099	108	0.003807
2375	319	0.0003621	45233	0.05135	109	0.003843
24866	318	0.000361	45551	0.05171	110	0.003878
23314	317	0.0003598	45868	0.05207	111	0.003913
15381	317	0.0003598	46185	0.05243	112	0.003948
12677	316	0.0003587	46501	0.05279	113	0.003984
13634	316	0.0003587	46817	0.05315	114	0.004019
16735	315	0.0003576	47132	0.0535	115	0.004054
16605	315	0.0003576	47447	0.05386	116	0.004089
21832	315	0.0003576	47762	0.05422	117	0.004125
28133	312	0.0003542	48074	0.05457	118	0.00416
3176	311	0.000353	48385	0.05493	119	0.004195
25149	311	0.000353	48696	0.05528	120	0.00423
12288	311	0.000353	49007	0.05563	121	0.004266
21077	310	0.0003519	49317	0.05598	122	0.004301
11893	309	0.0003508	49626	0.05633	123	0.004336
655	309	0.0003508	49935	0.05668	124	0.004371
1972	308	0.0003496	50243	0.05703	125	0.004407
10168	308	0.0003496	50551	0.05738	126	0.004442
16491	308	0.0003496	50859	0.05773	127	0.004477
1092	305	0.0003462	51164	0.05808	128	0.004512
23666	305	0.0003462	51469	0.05843	129	0.004548
15069	305	0.0003462	51774	0.05877	130	0.004583
21626	303	0.000344	52077	0.05912	131	0.004618
11099	302	0.0003428	52379	0.05946	132	0.004653
16224	301	0.0003417	52680	0.0598	133	0.004689
20830	301	0.0003417	52981	0.06014	134	0.004724
20980	300	0.0003406	53281	0.06048	135	0.004759
131	300	0.0003406	53581	0.06082	136	0.004794
27798	299	0.0003394	53880	0.06116	137	0.00483
13094	299	0.0003394	54179	0.0615	138	0.004865
17688	297	0.0003371	54476	0.06184	139	0.0049
21107	296	0.000336	54772	0.06218	140	0.004935
3566	296	0.000336	55068	0.06251	141	0.004971
19456	295	0.0003349	55363	0.06285	142	0.005006
12620	295	0.0003349	55658	0.06318	143	0.005041
26601	294	0.0003337	55952	0.06352	144	0.005077
11712	293	0.0003326	56245	0.06385	145	0.005112
8273	291	0.0003303	56536	0.06418	146	0.005147
4477	291	0.0003303	56827	0.06451	147	0.005182
4610	290	0.0003292	57117	0.06484	148	0.005218
28247	290	0.0003292	57407	0.06517	149	0.005253
28146	289	0.0003281	57696	0.06549	150	0.005288
22988	289	0.0003281	57985	0.06582	151	0.005323
18187	288	0.0003269	58273	0.06615	152	0.005359
26532	287	0.0003258	58560	0.06648	153	0.005394
21666	284	0.0003224	58844	0.0668	154	0.005429
25672	283	0.0003213	59127	0.06712	155	0.005464
6849	283	0.0003213	59410	0.06744	156	0.0055
13080	282	0.0003201	59692	0.06776	157	0.005535
5305	282	0.0003201	59974	0.06808	158	0.00557
14604	282	0.0003201	60256	0.0684	159	0.005605
8255	281	0.000319	60537	0.06872	160	0.005641
24522	279	0.0003167	60816	0.06904	161	0.005676
22884	279	0.0003167	61095	0.06935	162	0.005711
25412	279	0.0003167	61374	0.06967	163	0.005746
18125	278	0.0003156	61652	0.06999	164	0.005782
24711	278	0.0003156	61930	0.0703	165	0.005817
15105	278	0.0003156	62208	0.07062	166	0.005852
6410	277	0.0003144	62485	0.07093	167	0.005887
5694	277	0.0003144	62762	0.07125	168	0.005923
18710	276	0.0003133	63038	0.07156	169	0.005958
7486	276	0.0003133	63314	0.07187	170	0.005993
15253	275	0.0003122	63589	0.07218	171	0.006028
29221	274	0.000311	63863	0.0725	172	0.006064
18209	274	0.000311	64137	0.07281	173	0.006099
28105	273	0.0003099	64410	0.07312	174	0.006134
2388	273	0.0003099	64683	0.07343	175	0.006169
7368	271	0.0003076	64954	0.07373	176	0.006205
21770	271	0.0003076	65225	0.07404	177	0.00624
13771	271	0.0003076	65496	0.07435	178	0.006275
29824	271	0.0003076	65767	0.07466	179	0.00631
21428	271	0.0003076	66038	0.07496	180	0.006346
25454	271	0.0003076	66309	0.07527	181	0.006381
6069	271	0.0003076	66580	0.07558	182	0.006416
26192	270	0.0003065	66850	0.07589	183	0.006451
26602	270	0.0003065	67120	0.07619	184	0.006487
1925	269	0.0003054	67389	0.0765	185	0.006522
444	268	0.0003042	67657	0.0768	186	0.006557
17917	268	0.0003042	67925	0.07711	187	0.006592
28226	266	0.000302	68191	0.07741	188	0.006628
18980	266	0.000302	68457	0.07771	189	0.006663
6807	266	0.000302	68723	0.07801	190	0.006698
13741	265	0.0003008	68988	0.07831	191	0.006733
237	265	0.0003008	69253	0.07861	192	0.006769
18964	264	0.0002997	69517	0.07891	193	0.006804
13159	263	0.0002986	69780	0.07921	194	0.006839
3257	263	0.0002986	70043	0.07951	195	0.006874
19532	262	0.0002974	70305	0.07981	196	0.00691
3673	262	0.0002974	70567	0.08011	197	0.006945
5391	261	0.0002963	70828	0.0804	198	0.00698
491	261	0.0002963	71089	0.0807	199	0.007015
5720	261	0.0002963	71350	0.08099	200	0.007051
2302	260	0.0002951	71610	0.08129	201	0.007086
349	260	0.0002951	71870	0.08158	202	0.007121
16716	260	0.0002951	72130	0.08188	203	0.007156
25655	260	0.0002951	72390	0.08218	204	0.007192
22008	259	0.000294	72649	0.08247	205	0.007227
1250	259	0.000294	72908	0.08276	206	0.007262
14070	259	0.000294	73167	0.08306	207	0.007297
13230	258	0.0002929	73425	0.08335	208	0.007333
23008	258	0.0002929	73683	0.08364	209	0.007368
29657	258	0.0002929	73941	0.08394	210	0.007403
2456	258	0.0002929	74199	0.08423	211	0.007438
221	258	0.0002929	74457	0.08452	212	0.007474
6841	256	0.0002906	74713	0.08481	213	0.007509
2741	256	0.0002906	74969	0.0851	214	0.007544
27290	253	0.0002872	75222	0.08539	215	0.007579
19923	252	0.0002861	75474	0.08568	216	0.007615
24632	252	0.0002861	75726	0.08596	217	0.00765
6485	251	0.0002849	75977	0.08625	218	0.007685
21018	251	0.0002849	76228	0.08653	219	0.007721
17490	249	0.0002827	76477	0.08681	220	0.007756
26330	249	0.0002827	76726	0.0871	221	0.007791
4744	249	0.0002827	76975	0.08738	222	0.007826
8062	248	0.0002815	77223	0.08766	223	0.007862
17653	248	0.0002815	77471	0.08794	224	0.007897
15784	248	0.0002815	77719	0.08822	225	0.007932
22779	248	0.0002815	77967	0.08851	226	0.007967
14507	246	0.0002793	78213	0.08879	227	0.008003
23551	245	0.0002781	78458	0.08906	228	0.008038
16365	245	0.0002781	78703	0.08934	229	0.008073
13943	244	0.000277	78947	0.08962	230	0.008108
20582	244	0.000277	79191	0.0899	231	0.008144
11655	244	0.000277	79435	0.09017	232	0.008179
18998	242	0.0002747	79677	0.09045	233	0.008214
23129	242	0.0002747	79919	0.09072	234	0.008249
22585	242	0.0002747	80161	0.091	235	0.008285
15991	242	0.0002747	80403	0.09127	236	0.00832
4379	242	0.0002747	80645	0.09155	237	0.008355
5885	242	0.0002747	80887	0.09182	238	0.00839
15230	241	0.0002736	81128	0.09209	239	0.008426
22131	240	0.0002724	81368	0.09237	240	0.008461
1615	239	0.0002713	81607	0.09264	241	0.008496
7803	239	0.0002713	81846	0.09291	242	0.008531
23829	238	0.0002702	82084	0.09318	243	0.008567
20585	237	0.000269	82321	0.09345	244	0.008602
11136	237	0.000269	82558	0.09372	245	0.008637
6339	236	0.0002679	82794	0.09399	246	0.008672
1584	236	0.0002679	83030	0.09425	247	0.008708
18384	236	0.0002679	83266	0.09452	248	0.008743
9585	236	0.0002679	83502	0.09479	249	0.008778
1101	235	0.0002668	83737	0.09506	250	0.008813
8845	235	0.0002668	83972	0.09532	251	0.008849
5227	235	0.0002668	84207	0.09559	252	0.008884
8767	235	0.0002668	84442	0.09586	253	0.008919
20440	235	0.0002668	84677	0.09612	254	0.008954
21339	235	0.0002668	84912	0.09639	255	0.00899
19968	235	0.0002668	85147	0.09666	256	0.009025
5451	235	0.0002668	85382	0.09692	257	0.00906
18282	234	0.0002656	85616	0.09719	258	0.009095
28404	234	0.0002656	85850	0.09745	259	0.009131
5634	234	0.0002656	86084	0.09772	260	0.009166
18064	234	0.0002656	86318	0.09799	261	0.009201
14094	233	0.0002645	86551	0.09825	262	0.009236
2496	232	0.0002634	86783	0.09851	263	0.009272
7407	232	0.0002634	87015	0.09878	264	0.009307
21531	231	0.0002622	87246	0.09904	265	0.009342
8722	231	0.0002622	87477	0.0993	266	0.009377
17241	231	0.0002622	87708	0.09956	267	0.009413
4700	231	0.0002622	87939	0.09983	268	0.009448
4848	231	0.0002622	88170	0.1001	269	0.009483
6277	230	0.0002611	88400	0.1003	270	0.009518
25058	230	0.0002611	88630	0.1006	271	0.009554
14995	229	0.00026	88859	0.1009	272	0.009589
7970	229	0.00026	89088	0.1011	273	0.009624
23698	229	0.00026	89317	0.1014	274	0.009659
29884	229	0.00026	89546	0.1017	275	0.009695
10630	228	0.0002588	89774	0.1019	276	0.00973
9787	228	0.0002588	90002	0.1022	277	0.009765
28232	228	0.0002588	90230	0.1024	278	0.0098
10613	227	0.0002577	90457	0.1027	279	0.009836
165	227	0.0002577	90684	0.1029	280	0.009871
8084	227	0.0002577	90911	0.1032	281	0.009906
22348	226	0.0002565	91137	0.1035	282	0.009941
20364	226	0.0002565	91363	0.1037	283	0.009977
2412	226	0.0002565	91589	0.104	284	0.01001
3946	226	0.0002565	91815	0.1042	285	0.01005
17177	226	0.0002565	92041	0.1045	286	0.01008
9550	226	0.0002565	92267	0.1047	287	0.01012
9978	225	0.0002554	92492	0.105	288	0.01015
1670	225	0.0002554	92717	0.1052	289	0.01019
4987	224	0.0002543	92941	0.1055	290	0.01022
18392	224	0.0002543	93165	0.1058	291	0.01026
12240	223	0.0002531	93388	0.106	292	0.01029
24201	223	0.0002531	93611	0.1063	293	0.01033
28500	223	0.0002531	93834	0.1065	294	0.01036
12771	222	0.000252	94056	0.1068	295	0.0104
23001	222	0.000252	94278	0.107	296	0.01044
29672	222	0.000252	94500	0.1073	297	0.01047
28011	222	0.000252	94722	0.1075	298	0.01051
19823	222	0.000252	94944	0.1078	299	0.01054
24917	222	0.000252	95166	0.108	300	0.01058
3138	221	0.0002509	95387	0.1083	301	0.01061
20086	221	0.0002509	95608	0.1085	302	0.01065
13491	221	0.0002509	95829	0.1088	303	0.01068
11447	221	0.0002509	96050	0.109	304	0.01072
22159	221	0.0002509	96271	0.1093	305	0.01075
22478	221	0.0002509	96492	0.1095	306	0.01079
13966	220	0.0002497	96712	0.1098	307	0.01082
21649	220	0.0002497	96932	0.11	308	0.01086
18529	220	0.0002497	97152	0.1103	309	0.01089
16402	220	0.0002497	97372	0.1105	310	0.01093
8729	220	0.0002497	97592	0.1108	311	0.01096
6463	219	0.0002486	97811	0.111	312	0.011
6762	219	0.0002486	98030	0.1113	313	0.01103
29773	218	0.0002475	98248	0.1115	314	0.01107
22883	218	0.0002475	98466	0.1118	315	0.0111
1438	218	0.0002475	98684	0.112	316	0.01114
15172	218	0.0002475	98902	0.1123	317	0.01118
18888	218	0.0002475	99120	0.1125	318	0.01121
28874	218	0.0002475	99338	0.1128	319	0.01125
15927	217	0.0002463	99555	0.113	320	0.01128
5864	217	0.0002463	99772	0.1133	321	0.01132
8262	217	0.0002463	99989	0.1135	322	0.01135
6682	217	0.0002463	100206	0.1138	323	0.01139
28127	217	0.0002463	100423	0.114	324	0.01142
3194	216	0.0002452	100639	0.1142	325	0.01146
8825	216	0.0002452	100855	0.1145	326	0.01149
12830	215	0.0002441	101070	0.1147	327	0.01153
7824	215	0.0002441	101285	0.115	328	0.01156
20298	215	0.0002441	101500	0.1152	329	0.0116
24056	214	0.0002429	101714	0.1155	330	0.01163
6495	214	0.0002429	101928	0.1157	331	0.01167
16597	214	0.0002429	102142	0.1159	332	0.0117
12814	214	0.0002429	102356	0.1162	333	0.01174
6037	214	0.0002429	102570	0.1164	334	0.01177
5071	214	0.0002429	102784	0.1167	335	0.01181
1644	213	0.0002418	102997	0.1169	336	0.01185
24072	213	0.0002418	103210	0.1172	337	0.01188
15263	213	0.0002418	103423	0.1174	338	0.01192
20323	213	0.0002418	103636	0.1176	339	0.01195
17992	213	0.0002418	103849	0.1179	340	0.01199
19660	213	0.0002418	104062	0.1181	341	0.01202
11492	213	0.0002418	104275	0.1184	342	0.01206
6258	213	0.0002418	104488	0.1186	343	0.01209
13841	212	0.0002407	104700	0.1189	344	0.01213
459	212	0.0002407	104912	0.1191	345	0.01216
23577	212	0.0002407	105124	0.1193	346	0.0122
20571	211	0.0002395	105335	0.1196	347	0.01223
2776	211	0.0002395	105546	0.1198	348	0.01227
2827	211	0.0002395	105757	0.1201	349	0.0123
29748	211	0.0002395	105968	0.1203	350	0.01234
3763	210	0.0002384	106178	0.1205	351	0.01237
25506	210	0.0002384	106388	0.1208	352	0.01241
13749	210	0.0002384	106598	0.121	353	0.01244
6313	210	0.0002384	106808	0.1212	354	0.01248
8187	210	0.0002384	107018	0.1215	355	0.01251
7072	210	0.0002384	107228	0.1217	356	0.01255
7472	209	0.0002373	107437	0.122	357	0.01259
20356	209	0.0002373	107646	0.1222	358	0.01262
23613	209	0.0002373	107855	0.1224	359	0.01266
28108	208	0.0002361	108063	0.1227	360	0.01269
16413	208	0.0002361	108271	0.1229	361	0.01273
23319	207	0.000235	108478	0.1231	362	0.01276
9447	207	0.000235	108685	0.1234	363	0.0128
7739	207	0.000235	108892	0.1236	364	0.01283
11868	206	0.0002338	109098	0.1238	365	0.01287
4352	206	0.0002338	109304	0.1241	366	0.0129
6298	206	0.0002338	109510	0.1243	367	0.01294
8141	206	0.0002338	109716	0.1245	368	0.01297
17842	206	0.0002338	109922	0.1248	369	0.01301
27572	206	0.0002338	110128	0.125	370	0.01304
8830	205	0.0002327	110333	0.1252	371	0.01308
17864	205	0.0002327	110538	0.1255	372	0.01311
10514	205	0.0002327	110743	0.1257	373	0.01315
17552	205	0.0002327	110948	0.1259	374	0.01318
6562	204	0.0002316	111152	0.1262	375	0.01322
15510	204	0.0002316	111356	0.1264	376	0.01326
17932	204	0.0002316	111560	0.1266	377	0.01329
654	204	0.0002316	111764	0.1269	378	0.01333
1375	204	0.0002316	111968	0.1271	379	0.01336
16007	204	0.0002316	112172	0.1273	380	0.0134
11735	204	0.0002316	112376	0.1276	381	0.01343
14215	203	0.0002304	112579	0.1278	382	0.01347
2955	203	0.0002304	112782	0.128	383	0.0135
16423	203	0.0002304	112985	0.1283	384	0.01354
16882	203	0.0002304	113188	0.1285	385	0.01357
11644	203	0.0002304	113391	0.1287	386	0.01361
127	203	0.0002304	113594	0.1289	387	0.01364
1443	202	0.0002293	113796	0.1292	388	0.01368
13198	202	0.0002293	113998	0.1294	389	0.01371
29360	202	0.0002293	114200	0.1296	390	0.01375
23644	202	0.0002293	114402	0.1299	391	0.01378
6192	201	0.0002282	114603	0.1301	392	0.01382
6300	201	0.0002282	114804	0.1303	393	0.01385
14342	201	0.0002282	115005	0.1306	394	0.01389
16235	201	0.0002282	115206	0.1308	395	0.01393
15615	201	0.0002282	115407	0.131	396	0.01396
13405	200	0.000227	115607	0.1312	397	0.014
27975	200	0.000227	115807	0.1315	398	0.01403
15504	200	0.000227	116007	0.1317	399	0.01407
15312	200	0.000227	116207	0.1319	400	0.0141
1657	200	0.000227	116407	0.1321	401	0.01414
16765	199	0.0002259	116606	0.1324	402	0.01417
16617	199	0.0002259	116805	0.1326	403	0.01421
8612	199	0.0002259	117004	0.1328	404	0.01424
24779	199	0.0002259	117203	0.133	405	0.01428
